GeoFIPS;GeoName;Description;2019;2020
" ""20000""";Kansas;Compensation (millions of dollars);91855;(NA)
" ""20000""";Kansas;Gross operating surplus (millions of dollars);73918.1;(NA)
" ""20000""";Kansas;Taxes on production and imports (TOPI) less subsides (millions of dollars);10720;(NA)
" ""20000""";Kansas; Taxes on production and imports (TOPI) (millions of dollars);12721.6;(NA)
" ""20000""";Kansas; Subsidies (millions of dollars);-2001.6;(NA)
" ""21000""";Kentucky;Real GDP (millions of chained 2012 dollars)  ;190811.5;183804.1
" ""21000""";Kentucky;Chain-type quantity indexes for real GDP;108.217;104.243
" ""21000""";Kentucky;Current-dollar GDP (millions of current dollars);215398.9;210024.2
" ""21000""";Kentucky;Compensation (millions of dollars);120751.8;(NA)
" ""21000""";Kentucky;Gross operating surplus (millions of dollars);79117.4;(NA)
" ""21000""";Kentucky;Taxes on production and imports (TOPI) less subsides (millions of dollars);15529.7;(NA)
" ""21000""";Kentucky; Taxes on production and imports (TOPI) (millions of dollars);16252.2;(NA)
" ""21000""";Kentucky; Subsidies (millions of dollars);-722.5;(NA)
" ""22000""";Louisiana;Real GDP (millions of chained 2012 dollars)  ;239967.2;226810.2
" ""22000""";Louisiana;Chain-type quantity indexes for real GDP;102.778;97.143
" ""22000""";Louisiana;Current-dollar GDP (millions of current dollars);256918.5;241990.8
" ""22000""";Louisiana;Compensation (millions of dollars);128837.8;(NA)
" ""22000""";Louisiana;Gross operating surplus (millions of dollars);108114;(NA)
" ""22000""";Louisiana;Taxes on production and imports (TOPI) less subsides (millions of dollars);19966.6;(NA)
" ""22000""";Louisiana; Taxes on production and imports (TOPI) (millions of dollars);20764.1;(NA)
" ""22000""";Louisiana; Subsidies (millions of dollars);-797.5;(NA)
" ""23000""";Maine;Real GDP (millions of chained 2012 dollars)  ;58793.3;56363.9
" ""23000""";Maine;Chain-type quantity indexes for real GDP;111.211;106.615
" ""23000""";Maine;Current-dollar GDP (millions of current dollars);67717.1;66196
" ""23000""";Maine;Compensation (millions of dollars);39335.6;(NA)
" ""23000""";Maine;Gross operating surplus (millions of dollars);22430;(NA)
" ""23000""";Maine;Taxes on production and imports (TOPI) less subsides (millions of dollars);5951.4;(NA)
" ""23000""";Maine; Taxes on production and imports (TOPI) (millions of dollars);6123.1;(NA)
" ""23000""";Maine; Subsidies (millions of dollars);-171.6;(NA)
" ""24000""";Maryland;Real GDP (millions of chained 2012 dollars)  ;374039.3;364169.3
" ""24000""";Maryland;Chain-type quantity indexes for real GDP;111.802;108.852
" ""24000""";Maryland;Current-dollar GDP (millions of current dollars);426747.4;422726.4
" ""24000""";Maryland;Compensation (millions of dollars);230761.7;(NA)
" ""24000""";Maryland;Gross operating surplus (millions of dollars);169490.6;(NA)
" ""24000""";Maryland;Taxes on production and imports (TOPI) less subsides (millions of dollars);26495.2;(NA)
" ""24000""";Maryland; Taxes on production and imports (TOPI) (millions of dollars);27710.2;(NA)
" ""24000""";Maryland; Subsidies (millions of dollars);-1215;(NA)
" ""25000""";Massachusetts;Real GDP (millions of chained 2012 dollars)  ;519961.6;500237.2
" ""25000""";Massachusetts;Chain-type quantity indexes for real GDP;116.982;112.545
" ""25000""";Massachusetts;Current-dollar GDP (millions of current dollars);596593.1;584039
" ""25000""";Massachusetts;Compensation (millions of dollars);342411.9;(NA)
" ""25000""";Massachusetts;Gross operating surplus (millions of dollars);224949.6;(NA)
" ""25000""";Massachusetts;Taxes on production and imports (TOPI) less subsides (millions of dollars);29231.5;(NA)
" ""25000""";Massachusetts; Taxes on production and imports (TOPI) (millions of dollars);31033.7;(NA)
" ""25000""";Massachusetts; Subsidies (millions of dollars);-1802.2;(NA)
" ""26000""";Michigan;Real GDP (millions of chained 2012 dollars)  ;471648.1;446249.4
" ""26000""";Michigan;Chain-type quantity indexes for real GDP;112.634;106.569
" ""26000""";Michigan;Current-dollar GDP (millions of current dollars);536888.3;515928.3
" ""26000""";Michigan;Compensation (millions of dollars);304444.9;(NA)
" ""26000""";Michigan;Gross operating surplus (millions of dollars);200012.8;(NA)
" ""26000""";Michigan;Taxes on production and imports (TOPI) less subsides (millions of dollars);32430.6;(NA)
" ""26000""";Michigan; Taxes on production and imports (TOPI) (millions of dollars);33746;(NA)
" ""26000""";Michigan; Subsidies (millions of dollars);-1315.4;(NA)
" ""27000""";Minnesota;Real GDP (millions of chained 2012 dollars)  ;341041.4;328472.5
" ""27000""";Minnesota;Chain-type quantity indexes for real GDP;115.111;110.868
" ""27000""";Minnesota;Current-dollar GDP (millions of current dollars);383777;374351.8
" ""27000""";Minnesota;Compensation (millions of dollars);218062.5;(NA)
